City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Abnub,EG,27.2696,31.1511,88.59,24,28,7.18,scattered clouds
314,Mpraeso,GH,6.5932,-0.7346,67.8,92,100,5.03,overcast clouds
315,Brainerd,US,46.358,-94.2008,79.05,65,100,12.66,overcast clouds
316,Maningrida,AU,-12.0667,134.2667,66.79,94,53,6.76,broken clouds
317,Sarakhs,IR,36.5449,61.1577,84.18,24,0,6.73,clear sky
318,Hailar,CN,49.2,119.7,61.83,83,58,5.68,broken clouds
319,Tuatapere,NZ,-46.1333,167.6833,37.87,90,73,7.16,broken clouds
320,Vardo,NO,70.3705,31.1107,51.78,100,100,4.61,overcast clouds
321,Bandarbeyla,SO,9.4942,50.8122,76.46,78,57,30.02,broken clouds
322,Tocopilla,CL,-22.092,-70.1979,64.06,72,22,11.12,few clouds
323,Marzuq,YE,14.4,46.4667,79.05,68,0,10.22,clear sky
324,Otjiwarongo,NA,-20.4637,16.6477,49.26,30,3,5.88,clear sky
325,Manzanillo,CU,20.3433,-77.1167,90.63,58,88,3.56,overcast clouds
326,Alta Gracia,AR,-31.6529,-64.4283,71.55,27,0,6.08,clear sky
327,Saint-Paul,RE,-21.0096,55.2707,68.36,78,15,4.94,few clouds
328,Sayansk,RU,54.1088,102.1648,56.82,96,90,3.71,overcast clouds
329,Dedovichi,RU,57.5517,29.9502,60.89,63,100,3.11,overcast clouds
330,Pacific Grove,US,36.6177,-121.9166,79.39,86,0,10.36,clear sky
331,Northam,GB,51.0333,-4.2167,63.39,94,1,8.59,clear sky
332,Lavrentiya,RU,65.5833,-171.0,46.45,74,76,2.62,broken clouds
333,Benghazi,LY,32.1167,20.0667,80.8,77,0,9.66,clear sky
334,Vostok,RU,46.4856,135.8833,66.24,91,100,3.13,light rain
335,De-Kastri,RU,51.4667,140.7833,59.68,97,73,8.05,broken clouds
336,Challapata,BO,-18.9,-66.7667,54.3,15,0,4.29,clear sky
337,Kaitangata,NZ,-46.2817,169.8464,35.6,87,5,7.23,clear sky
338,Oranjestad,AW,12.524,-70.027,80.96,86,42,24.52,scattered clouds
339,Dryden,CA,49.7833,-92.7503,70.09,88,100,5.75,overcast clouds
340,Deputatskiy,RU,69.3,139.9,64.42,78,77,2.82,broken clouds
341,Aykhal,RU,66.0,111.5,55.65,96,100,11.9,overcast clouds
